keywords,de,en,ru,kg
_dkfai_welcome,DKFAI Welcome,KGFAI Welcome,Добро пожаловать на КГФАИ,КГФАИге кош келиниздер
_dkfai_tregister,DKFAI Registrierung,KGFAI Registration,Регистрация на КГФАИ,КГФАИге каттоо
_dkfai_thankyou,Danke für deine Anmeldung,Thank you for registering,,
_dkfai_h2,Deutsch-Kirgisische Fakultät für Angewandte Informatik,Kyrgyz-German Faculty for Applied Informatics,Кыргызско-Германский факультет прикладной информатики,Кыргыз-Герман колдонмо информатика факультети
_dkfai_goto_register,Melde dich jetzt bei uns an.,Register now with us.,Пройди регистрацию сейчас,Бизге азыр кошул
_dkfai_teaser,"Informatik ist das spannendste Handwerk der Gegenwart. In unserer Fakultät lernst du, wie heute Software geschrieben wird, wie moderne Apps für Web und Smartphone entstehen, wie man Drohnen fliegen lässt und warum auch Gewächshäuser mit Informatik besser werden. Wir bringen dir bei, wie man Software entwickelt. Jedes Jahr vergeben wir Studienstipendien vom Deutschen Akademischen Austauschdienst. Und jedes Jahr geht eine Gruppe von Studenten nach Deutschland, um ein oder mehrere Semester in Zwickau zu studieren.","Software development is todays most exciting craftsmanship. In our faculty you will learn how software is developed nowadays, how to create modern apps for web and smartphone, how to fly UAVs and why even greenhouses will be improved by smart programs. We will teach you to efficiently develop software systems. And every year a group of our students is going to Germany to study for one ore two terms in the city of Zwickau.","На сегодняшний день информатика является увлекательным ремеслом. На нашем факультете ты сможешь узнать, как сегодня пишутся программные обеспечения, как возникают современные веб-приложения и мобильные приложения для смартфонов, как заставить  летать дроны и как современные теплицы становятся лучше с информатикой. Мы научим также разрабатывать программное обеспечение. Каждый год мы предоставляем  стипендии от Германской службы академических обменов. Ежегодно группа студентов едет в Германию для учебы в Цвиккау  на один  или несколько семестров.","Бүгүнкү күнгө чейин, компьютер илими кызыктуу өнөрчүлүк болуп саналат. Биздин факультетте  веб-тиркемелерди жана смартфондорго үчүн мобилдик тиркемелерди, компьютер  программаны жазууга үйрөнүү мумкунчулук бар.  Жыл сайын  Германиянын академиялык алмашуу кызматынын стипендиялары берилет. Жыл сайын студенттердин бир тобу бир же бир нече семестр боюнча Цвикау окуу үчүн Германияга барышат."
_hello_personal_1,"Hallo, {{.firstname}} {{.lastname}}, deine Anmeldung war erfolgreich. Eine Nachricht mit 
deinen Anmeldedaten wurde an deine Mailadresse {{.email}} geschickt. Wenn du 
innerhalb eines Tages keine Mail von uns bekommst oder doch irgendwelche 
Daten falsch sind, melde dich bitte per Mail bei ","Hello, {{.firstname}} {{.lastname}}, you registered successfully. A mail with your registration data was sent to your mail address {{.email}}. If you didn“t receive a mail from us within one day or if any of the registered data are wrong, please contact us by mail at  ","Привет, {{.firstname}} {{.lastname}},  регистрация прошла успешно. Сообщение с  регистрационными данными отправлено на твою электронную почту {{.email}}. Если в течение одного дня ты не получишь письмо от нас или какие-то твои данные окажутся неправильными, пожалуйста, сообщи об этом нам по почте ",yyyy
_hello_personal_2,oder telefonisch unter +996 312 549238 im DKFAI Projektbüro.,or by phone +996 312 549238 at our KGFAI project office.,или по телефону  +996 312 549238 в проектное бюро КГФАИ. ,yyyy
_visit_us_fb,"Oder besuche uns auf Facebook und schreib uns, was dich besonders interessiert.",Or visit us on facebook and tell us what is really interesting you.,"Или посетите нас на Facebook и напишите нам, что вас особенно интересует. ",yyyy
_ok_or_change,Ist alles richtig? Bestätige oder korrigiere bitte folgende Angaben: ,Is everything recorded correctly? Please confirm or correct your registration data:,Все верно? Тогда подтверди или исправь следующие данные:,yyyy
